Job_ID,Job_Title,AI_Specialization,Industry,Company,Company_Size,Country,Continent,Education_Required,Experience_Level,Years_of_Experience,Salary_USD,Salary_Min,Salary_Max,Salary_Category,Bonus_%,Equity_Offered,Benefits_Value_USD,Skills_Required,Required_Certifications,Job_Openings,Competition_Level_Applicants,Hiring_Difficulty_1_10,Job_Type,Remote_Work_%,Work_From_Home_Available,Job_Satisfaction_1_10,Work_Life_Balance_1_10,AI_Investment_Company_Millions,Company_AI_Maturity_1_10,Job_Growth_Projection_%,Automation_Risk_%,Gender_Diversity_%_Female,Posted_Date,Application_Deadline,Record_Created,Data_Source
AI-02629,AI Quality Assurance Engineer,Reinforcement Learning,Entertainment,Wipro,Enterprise (5000+),Belgium,Europe,Master's,Executive,20,493302.0,425481,677072,Very High,7.5,No,18477,"Testing, Automation, AI/ML, Python, Quality Assurance, Spark",AWS Certified,6,192,3.3,Full-time,20,No,7.4,6.8,402,6.4,35.2,22.2,43.5,2033-03-13,2033-04-13,2026-08-28,Global AI Jobs Report 2026
AI-02450,AI Consultant,Machine Learning,Consulting,Booz Allen,Enterprise (5000+),United States,North America,Master's,Executive,15,492604.0,427605,629246,Very High,22.0,Yes,22216,"Strategic Consulting, Business Development, ML/AI Expertise, Tableau, Communication, Spark",DeepLearning.ai,16,265,4.0,Full-time,40,No,8.8,7.3,492,3.8,23.5,37.6,31.5,2032-09-15,2032-10-16,2026-08-28,Global AI Jobs Report 2026
AI-00508,Robotics Engineer,Reinforcement Learning,Insurance,Automation Anywhere,Large (501-5000),Malaysia,Asia,Master's,Executive,15,491659.0,351123,585408,Very High,18.4,No,7651,"ROS, AI/ML, Robotics, C++, Python, Computer Vision",DeepLearning.ai,14,68,5.5,Contract,80,Yes,7.5,4.0,223,8.1,33.1,32.9,23.5,2027-05-23,2027-06-23,2026-08-28,Global AI Jobs Report 2026
AI-04387,AI Security Specialist,Deep Learning,Finance,LinkedIn,Medium (51-500),Canada,North America,Master's,Executive,5,489189.0,393504,570537,Very High,22.3,Yes,22271,"AI/ML, Threat Detection, Python, AWS/GCP, Security",AWS Certified,14,449,7.2,Full-time,60,Yes,5.6,4.8,370,5.4,23.1,39.7,16.7,2038-01-04,2038-02-04,2026-08-28,Global AI Jobs Report 2026
AI-00529,Data Engineer,Reinforcement Learning,Research & Development,Airbnb,Enterprise (5000+),Austria,Europe,Master's,Executive,12,481812.0,373785,544344,Very High,18.0,No,7606,"SQL, Kafka, GCP, Python, AWS/GCP, ETL Pipelines",None,7,122,9.3,Full-time,40,No,7.3,7.9,444,7.1,44.2,24.8,19.5,2027-06-13,2027-07-14,2026-08-28,Global AI Jobs Report 2026
AI-03938,Research Scientist (AI),Computer Vision,Transportation,Amazon,Large (501-5000),Switzerland,Europe,Postdoctoral,Executive,5,477580.0,374428,664508,Very High,14.1,No,18788,"Research, PyTorch, Deep Learning, Academic Writing, Python",Azure AI,10,324,5.9,Full-time,20,No,9.4,4.6,318,3.9,15.3,21.8,37.3,2036-10-12,2036-11-12,2026-08-28,Global AI Jobs Report 2026
AI-02491,Research Engineer,Other,Retail,LinkedIn,Large (501-5000),Singapore,Asia,Master's,Executive,1,475842.0,421618,613683,Very High,16.1,No,37718,"Research, PyTorch, Python, Implementation, Problem Solving",Azure AI,14,120,6.6,Freelance,60,Yes,5.6,5.9,42,5.4,24.7,14.4,16.9,2032-10-26,2032-11-26,2026-08-28,Global AI Jobs Report 2026
AI-03191,AI Infrastructure Engineer,Computer Vision,Insurance,Oracle,Large (501-5000),United States,North America,PhD,Executive,3,475376.0,412670,665216,Very High,27.4,No,34760,"AWS/GCP/Azure, Azure, Python, MLOps, Docker, Kubernetes",AWS Certified,14,319,9.1,Full-time,100,Yes,5.8,6.0,216,6.4,41.7,29.3,40.7,2034-09-26,2034-10-27,2026-08-28,Global AI Jobs Report 2026
AI-00309,AI Security Specialist,Other,Entertainment,IBM Consulting,Small (1-50),Canada,North America,PhD,Executive,2,473332.0,382662,588895,Very High,5.1,No,10087,"AI/ML, Threat Detection, Azure, Python, AWS/GCP, Security",Azure AI,8,321,8.8,Full-time,40,No,7.4,7.3,370,2.4,43.8,27.1,36.2,2026-11-05,2026-12-06,2026-08-28,Global AI Jobs Report 2026
AI-00454,AI Consultant,Deep Learning,Automotive,Automation Anywhere,Enterprise (5000+),Singapore,Asia,PhD,Executive,15,468913.0,343245,577220,Very High,5.0,Yes,5233,"Strategic Consulting, Business Development, ML/AI Expertise, Communication, SQL, Java",None,8,58,5.4,Full-time,20,No,7.1,7.2,380,5.1,39.5,33.0,18.6,2027-03-30,2027-04-30,2026-08-28,Global AI Jobs Report 2026
AI-03940,Data Analyst,Other,Research & Development,Netflix,Enterprise (5000+),Canada,North America,PhD,Executive,10,467352.0,390013,591827,Very High,21.9,Yes,18490,"Hadoop, Statistics, Excel, Data Visualization, Python, Tableau",None,12,110,8.3,Full-time,20,No,5.6,6.8,490,9.2,32.0,10.1,15.8,2036-10-14,2036-11-14,2026-08-28,Global AI Jobs Report 2026
AI-03444,AI Researcher,Robotics,Cloud Computing,Cohere,Enterprise (5000+),Japan,Asia,Master's,Executive,2,466650.0,338847,631221,Very High,22.9,No,22400,"Research, PyTorch, Deep Learning, Academic Writing, Python",AWS Certified,13,259,6.4,Full-time,40,No,6.6,5.0,196,3.7,17.6,36.9,28.4,2035-06-06,2035-07-07,2026-08-28,Global AI Jobs Report 2026
AI-01105,AI Consultant,Machine Learning,Aerospace,Airbnb,Enterprise (5000+),Turkey,Asia,Bachelor's,Executive,12,465487.0,367159,585037,Very High,27.0,No,27482,"Business Development, ML/AI Expertise, Communication, Strategic Consulting",Multiple,10,17,4.5,Full-time,60,Yes,6.4,4.4,441,8.2,16.8,19.0,29.5,2029-01-09,2029-02-09,2026-08-28,Global AI Jobs Report 2026
AI-00445,Data Engineer,NLP,Automotive,Alibaba,Large (501-5000),Canada,North America,Bachelor's,Executive,5,463706.0,397444,576334,Very High,13.4,Yes,13476,"SQL, Kafka, Python, AWS/GCP, ETL Pipelines, TensorFlow",DeepLearning.ai,12,52,6.1,Full-time,60,Yes,7.0,4.1,398,4.4,42.3,12.4,19.8,2027-03-21,2027-04-21,2026-08-28,Global AI Jobs Report 2026
AI-02922,AI Ethics Specialist,Robotics,Media,Capgemini,Large (501-5000),Denmark,Europe,Master's,Executive,7,462300.0,413616,521357,Very High,14.5,No,14974,"Regulatory Compliance, JavaScript, AI Governance, Ethics, Policy, Bias Detection",AWS Certified,7,155,3.1,Full-time,60,Yes,8.1,5.0,425,2.1,32.7,16.8,20.5,2033-12-31,2034-01-31,2026-08-28,Global AI Jobs Report 2026
AI-04121,PhD Research Fellow,Machine Learning,Research & Development,Palantir,Large (501-5000),Colombia,South America,Postdoctoral,Executive,12,457530.0,338279,542458,Very High,17.4,No,36359,"Research, GCP, Teaching, Deep Learning, Academic Writing, Python",Google ML,9,227,9.3,Full-time,20,No,9.0,7.1,45,5.0,36.1,18.8,32.8,2037-04-13,2037-05-14,2026-08-28,Global AI Jobs Report 2026
AI-00177,Lead Data Scientist,Reinforcement Learning,Technology,Capgemini,Large (501-5000),Egypt,Africa,Master's,Executive,0,455343.0,356500,536581,Very High,25.1,Yes,39901,"SQL, Team Leadership, Python, AWS/GCP, Strategic Planning, ML/AI",AWS Certified,6,141,7.7,Freelance,80,Yes,7.8,5.9,277,6.4,33.6,22.8,17.7,2026-06-26,2026-07-27,2026-08-28,Global AI Jobs Report 2026
AI-04456,AI/ML Architect,Other,Finance,Adobe,Enterprise (5000+),Finland,Europe,Bachelor's,Executive,5,448588.0,362509,625183,Very High,21.0,Yes,7052,"System Design, AWS/GCP/Azure, GCP, Python, Kubernetes, Machine Learning",None,13,353,3.3,Full-time,40,No,8.9,4.0,176,9.0,32.2,14.8,23.0,2038-03-14,2038-04-14,2026-08-28,Global AI Jobs Report 2026
AI-01559,AI Policy Advisor,NLP,Biotechnology,McKinsey,Large (501-5000),Egypt,Africa,Master's,Executive,3,448508.0,335737,606099,Very High,12.4,No,15858,"Policy Analysis, AI Governance, Regulatory, Government Relations, Ethics",DeepLearning.ai,8,179,3.3,Full-time,80,Yes,7.9,6.0,9,9.4,33.1,13.2,27.8,2030-04-08,2030-05-09,2026-08-28,Global AI Jobs Report 2026
AI-00579,AI/ML Architect,Other,Robotics,LinkedIn,Enterprise (5000+),Norway,Europe,PhD,Executive,0,448472.0,366412,572896,Very High,24.4,No,12220,"System Design, AWS/GCP/Azure, Python, Kubernetes, Machine Learning",Google ML,10,101,3.4,Contract,40,No,7.9,6.6,356,9.0,16.1,5.5,33.6,2027-08-02,2027-09-02,2026-08-28,Global AI Jobs Report 2026
AI-02126,PhD Research Fellow,Deep Learning,Energy,Deloitte,Enterprise (5000+),Hungary,Europe,PhD,Executive,10,448035.0,364785,552136,Very High,7.0,Yes,12352,"Research, PyTorch, Teaching, Deep Learning, Academic Writing, Python",Azure AI,9,431,9.0,Freelance,80,Yes,7.7,7.0,240,6.0,31.9,32.8,25.0,2031-10-27,2031-11-27,2026-08-28,Global AI Jobs Report 2026
AI-00914,AI Research Scientist,Other,Automotive,Oracle,Enterprise (5000+),Nigeria,Africa,Master's,Executive,5,442543.0,348835,604647,Very High,11.0,Yes,26931,"PyTorch, Academic Publishing, Deep Learning, Reinforcement Learning, Python, Docker",AWS Certified,10,468,6.1,Full-time,60,Yes,7.5,5.3,103,7.1,30.4,38.1,21.6,2028-07-02,2028-08-02,2026-08-28,Global AI Jobs Report 2026
AI-03487,Lead Data Scientist,Machine Learning,Manufacturing,Apple,Enterprise (5000+),Japan,Asia,Bachelor's,Executive,15,441915.0,362788,520013,Very High,22.8,No,23437,"Hadoop, SQL, Team Leadership, Python, AWS/GCP, Strategic Planning",Google ML,4,314,9.1,Part-time,40,No,7.7,6.1,301,8.1,33.4,18.7,41.1,2035-07-19,2035-08-19,2026-08-28,Global AI Jobs Report 2026
AI-02514,Business Intelligence Analyst,Machine Learning,Transportation,Panasonic,Medium (51-500),UAE,Asia,Master's,Executive,15,441505.0,315640,512715,Very High,23.7,Yes,38476,"Power BI, Business Intelligence, Python, Tableau, SQL",Google ML,11,191,6.1,Full-time,60,Yes,7.8,8.9,228,9.3,22.8,16.9,23.2,2032-11-18,2032-12-19,2026-08-28,Global AI Jobs Report 2026
AI-02561,NLP Engineer,Generative AI,Consulting,Deloitte,Large (501-5000),Italy,Europe,Master's,Executive,12,439579.0,393946,553297,Very High,10.9,Yes,17110,"BERT, PyTorch, NLTK, GPT, Python, Transformers",DeepLearning.ai,12,93,6.2,Full-time,80,Yes,6.2,4.2,90,6.6,44.9,5.0,28.8,2033-01-04,2033-02-04,2026-08-28,Global AI Jobs Report 2026
AI-01057,Generative AI Engineer,Generative AI,Telecommunications,Airbnb,Large (501-5000),Germany,Europe,Master's,Executive,20,438596.0,376837,493085,Very High,21.6,No,8190,"PyTorch, GPT, Python, Transformers, Generative Models, Diffusion",Multiple,8,312,4.0,Full-time,60,Yes,8.7,7.3,460,8.1,17.5,18.4,21.7,2028-11-22,2028-12-23,2026-08-28,Global AI Jobs Report 2026
AI-00247,AI Policy Advisor,Reinforcement Learning,E-commerce,Anthropic,Large (501-5000),Israel,Asia,Master's,Lead Level,7,435978.0,337232,592951,Very High,20.3,No,35395,"Policy Analysis, AI Governance, Regulatory, Government Relations, Ethics, NumPy",Google ML,7,391,5.5,Full-time,0,No,6.9,4.2,401,3.0,25.2,26.3,41.6,2026-09-04,2026-10-05,2026-08-28,Global AI Jobs Report 2026
AI-00205,Machine Learning Engineer,Reinforcement Learning,Retail,Alibaba,Enterprise (5000+),Portugal,Europe,PhD,Executive,1,435217.0,330722,502042,Very High,19.8,No,35311,"PyTorch, AWS/GCP/Azure, Pandas, Scikit-learn, Python, Tableau",None,16,293,9.1,Full-time,60,Yes,7.8,7.5,302,6.4,34.6,27.4,24.1,2026-07-24,2026-08-24,2026-08-28,Global AI Jobs Report 2026
AI-04573,AI Research Scientist,Machine Learning,Government,Infosys,Medium (51-500),Canada,North America,Master's,Executive,0,433801.0,314617,512292,Very High,18.8,No,28486,"PyTorch, Academic Publishing, Deep Learning, Reinforcement Learning, Python",AWS Certified,15,408,4.4,Part-time,20,No,6.5,7.7,214,7.2,39.6,36.5,21.7,2038-07-09,2038-08-09,2026-08-28,Global AI Jobs Report 2026
AI-01540,Robotics Engineer,NLP,Consulting,Tesla,Large (501-5000),New Zealand,Oceania,Master's,Executive,1,430734.0,374752,533928,Very High,27.7,Yes,33466,"ROS, AI/ML, Robotics, C++, Python, Computer Vision",Google ML,7,203,8.8,Full-time,80,Yes,6.7,6.4,337,4.6,42.8,25.9,23.9,2030-03-20,2030-04-20,2026-08-28,Global AI Jobs Report 2026
AI-03045,AI Infrastructure Engineer,Computer Vision,Automotive,Bain,Large (501-5000),Malaysia,Asia,PhD,Executive,1,430374.0,383943,484046,Very High,14.9,Yes,7274,"AWS/GCP/Azure, C++, Python, MLOps, Docker, Kubernetes",Google ML,15,218,5.4,Full-time,20,No,6.1,5.0,253,3.8,32.5,26.2,32.4,2034-05-03,2034-06-03,2026-08-28,Global AI Jobs Report 2026
AI-01101,AI Researcher,Robotics,Research & Development,Anthropic,Medium (51-500),Thailand,Asia,PhD,Executive,10,429902.0,321825,502925,Very High,19.0,No,26591,"Research, PyTorch, GCP, Deep Learning, Academic Writing, Python",Azure AI,7,293,3.8,Full-time,100,Yes,6.5,4.3,247,5.5,18.8,12.3,44.4,2029-01-05,2029-02-05,2026-08-28,Global AI Jobs Report 2026
AI-01382,Senior Data Scientist,Deep Learning,Agriculture,IBM Consulting,Enterprise (5000+),Poland,Europe,PhD,Executive,2,428250.0,307510,478324,Very High,6.5,No,13824,"Leadership, Big Data, Statistics, Azure, Python, SQL",Multiple,9,180,4.6,Full-time,20,No,5.5,8.5,61,5.2,38.8,27.3,43.0,2029-10-13,2029-11-13,2026-08-28,Global AI Jobs Report 2026
AI-02237,Computer Vision Engineer,Computer Vision,Telecommunications,Intel,Enterprise (5000+),Kenya,Africa,Master's,Executive,10,428041.0,361835,525556,Very High,10.3,No,17236,"PyTorch, YOLO, CNN, OpenCV, Python, AWS/GCP",DeepLearning.ai,13,428,5.8,Contract,100,Yes,8.0,4.7,336,8.1,22.8,12.2,21.1,2032-02-15,2032-03-17,2026-08-28,Global AI Jobs Report 2026
AI-01077,Research Engineer,Machine Learning,Defense,Palantir,Medium (51-500),Denmark,Europe,Bachelor's,Executive,20,425598.0,342865,553471,Very High,7.9,No,22481,"Research, PyTorch, TensorFlow, Python, Implementation, Problem Solving",DeepLearning.ai,13,271,3.7,Full-time,80,Yes,9.4,5.5,208,3.7,42.3,38.2,17.3,2028-12-12,2029-01-12,2026-08-28,Global AI Jobs Report 2026
AI-03076,NLP Engineer,Other,E-commerce,Wipro,Medium (51-500),Pakistan,Asia,Master's,Executive,7,424373.0,379585,506300,Very High,5.4,No,26668,"BERT, Hadoop, PyTorch, NLTK, GPT, Python",Azure AI,11,295,9.3,Full-time,20,No,8.8,7.8,474,3.1,42.8,6.5,40.9,2034-06-03,2034-07-04,2026-08-28,Global AI Jobs Report 2026
AI-00705,Data Analyst,Reinforcement Learning,Insurance,Baidu,Medium (51-500),Sweden,Europe,Master's,Executive,20,424156.0,332355,484837,Very High,28.8,No,7979,"R, Power BI, Statistics, Excel, Data Visualization, Python",None,14,243,6.4,Full-time,40,No,7.3,5.1,180,2.8,41.5,25.5,21.6,2027-12-06,2028-01-06,2026-08-28,Global AI Jobs Report 2026
AI-03664,Robotics Engineer,NLP,Cloud Computing,BCG,Large (501-5000),Netherlands,Europe,Master's,Executive,20,423739.0,361497,501957,Very High,21.6,Yes,39240,"ROS, AI/ML, Robotics, C++, Python, Tableau",DeepLearning.ai,8,220,6.1,Contract,60,Yes,6.9,6.1,258,2.1,37.1,35.3,42.7,2036-01-12,2036-02-12,2026-08-28,Global AI Jobs Report 2026
AI-00627,AI Project Manager,NLP,Technology,SAP,Enterprise (5000+),Nigeria,Africa,Master's,Executive,15,422995.0,374346,490327,Very High,10.0,No,19230,"ML/AI Knowledge, Risk Management, Project Management, Azure, Agile/Scrum, Communication",DeepLearning.ai,4,468,9.0,Full-time,20,No,7.4,6.9,173,9.4,15.4,38.9,28.6,2027-09-19,2027-10-20,2026-08-28,Global AI Jobs Report 2026
AI-00643,AI Software Engineer,Other,Entertainment,AMD,Small (1-50),South Africa,Africa,PhD,Executive,12,422431.0,338750,530084,Very High,26.4,Yes,7849,"PyTorch, REST APIs, ML Libraries, C++, Python, AWS/GCP",None,6,356,9.0,Full-time,60,Yes,8.4,4.6,145,2.6,39.1,19.3,29.0,2027-10-05,2027-11-05,2026-08-28,Global AI Jobs Report 2026
AI-01107,AI Researcher,Other,Retail,Hitachi,Large (501-5000),Egypt,Africa,Bachelor's,Executive,20,422403.0,350200,505740,Very High,13.5,No,20088,"Research, PyTorch, Deep Learning, Academic Writing, Python, JavaScript",AWS Certified,9,129,5.5,Contract,100,Yes,7.0,5.3,98,2.7,42.9,37.0,33.9,2029-01-11,2029-02-11,2026-08-28,Global AI Jobs Report 2026
AI-00494,Generative AI Engineer,Generative AI,Logistics,Salesforce,Enterprise (5000+),Portugal,Europe,Postdoctoral,Executive,7,422087.0,378694,572715,Very High,14.1,No,16145,"PyTorch, GPT, Python, Transformers, Generative Models, Diffusion",Multiple,15,245,6.3,Full-time,40,No,7.3,7.3,454,3.1,19.3,36.6,32.9,2027-05-09,2027-06-09,2026-08-28,Global AI Jobs Report 2026
